"payment_id","order_id","amount","payment_method"
1,1,367,"Card"
2,2,359,"Card"
3,3,811,"Card"
4,4,430,"Card"
5,5,790,"Card"
6,6,725,"Card"
7,7,417,"Card"
8,8,423,"Card"
9,9,189,"Card"
10,10,815,"Card"
11,11,750,"Card"
12,12,952,"Card"
13,13,24,"Card"
14,14,253,"Card"
15,15,619,"Card"
16,16,549,"Card"
17,17,85,"Card"
18,18,571,"Card"
19,19,403,"Card"
20,20,922,"Card"
21,21,237,"Card"
22,22,754,"Card"
23,23,216,"Card"
24,24,429,"Card"
25,25,961,"Card"
26,26,966,"Card"
27,27,756,"Card"
28,28,225,"Card"
29,29,951,"Card"
30,30,164,"Card"
