customer_id,product_id,date_id,amount
1,1,2024-01-01,1200
2,1,2024-01-12,1300
3,1,2024-02-03,1350
5,1,2024-01-25,1400
6,1,2024-02-16,1450
10,1,2024-01-20,1250
1,2,2024-01-11,850
2,2,2024-01-02,800
4,2,2024-02-14,820
6,2,2024-01-26,780
7,2,2024-02-07,790
1,10,2024-01-21,160
6,10,2024-02-06,145
9,10,2024-02-19,155
10,10,2024-01-10,150
1,7,2024-02-01,265
2,7,2024-02-12,255
3,7,2024-01-23,275
6,7,2024-01-16,260
7,7,2024-01-07,250
10,7,2024-02-20,270
1,6,2024-02-11,48
2,6,2024-02-02,60
3,6,2024-01-13,45
4,6,2024-01-24,55
6,6,2024-01-06,50
2,9,2024-01-22,200
3,9,2024-02-13,190
4,9,2024-02-04,185
7,9,2024-01-17,175
9,9,2024-01-09,180
3,3,2024-01-03,500
4,3,2024-01-14,520
5,3,2024-02-05,510
7,3,2024-01-27,490
8,3,2024-02-18,530
4,4,2024-01-04,300
5,4,2024-02-15,315
8,4,2024-02-08,305
9,4,2024-01-19,320
10,4,2024-01-30,310
5,5,2024-01-05,100
8,5,2024-01-18,95
9,5,2024-01-29,110
10,5,2024-02-10,90
5,8,2024-01-15,950
7,8,2024-02-17,980
8,8,2024-01-08,900
8,8,2024-01-28,920
9,8,2024-02-09,970
